price,status,area,rate per sqft,property type,locality,builder name,rera approval,bhk_count,society,company name,flat type,price_tier,price_cr
12000000,ready to move,1137,10554,3 bhk apartment in tulip orange,sector 70,ujjwal properties,not approved by rera,3,tulip orange,tulip,apartment,budget,1.2
8470000,under construction,1210,7000,2 bhk apartment in ashiana mulberry,sector 2 sohna,ujjwal properties,approved by rera,2,ashiana mulberry,ashiana,apartment,budget,0.847
12000000,under construction,1465,8191,3 bhk apartment in ashiana mulberry,sector 2 sohna,busy street consultants,approved by rera,3,ashiana mulberry,ashiana,apartment,budget,1.2
33100000,ready to move,2400,13791,4 bhk independent floor in dlf phase 3,sector 24,ghardekhoco,not approved by rera,4,dlf phase 3,dlf,floor,premium,3.31
44000000,under construction,3400,12941,4 bhk independent floor in eros rosewood city,sector 49,home,approved by rera,4,eros rosewood city,eros,floor,ultra-luxury,4.4
5550000,ready to move,745,7449,2 bhk apartment,sector 89a,property in gurgaon,not approved by rera,2,outside socity,outside,plot,budget,0.555
21500000,ready to move,1200,17916,3 bhk apartment in dlf princeton estate,sector 53,properties for sale in gurgaon,not approved by rera,3,dlf pr,dlf,apartment,value-mid,2.15
27000000,ready to move,1450,18620,3 bhk apartment in dlf wellington estate,sector 53,aadmire real estate,not approved by rera,3,dlf well,dlf,apartment,premium,2.7
18000000,ready to move,1050,17142,2 bhk apartment in dlf princeton estate,sector 53,roomy realty,not approved by rera,2,dlf pr,dlf,apartment,value-mid,1.8
21000000,ready to move,2000,10500,3 bhk apartment in ireo the corridors,sector 67,the dreams property,not approved by rera,3,ireo the corridors,ireo,apartment,value-mid,2.1
21500000,ready to move,1800,11944,3 bhk independent floor,palam vihar,the dreams property,not approved by rera,3,outside socity,outside,plot,value-mid,2.15
16500000,ready to move,1600,10312,3 bhk independent floor,palam vihar,the dreams property,not approved by rera,3,outside socity,outside,plot,value-mid,1.65
21000000,ready to move,1650,12727,3 bhk independent floor in ansal palam vihar plot,palam vihar extension,chirag reality firm,not approved by rera,3,ansal palam vihar plot,ansal,floor,value-mid,2.1
33000000,ready to move,3400,9705,4 bhk independent floor in ansal palam vihar plot,palam vihar extension,star homz,not approved by rera,4,ansal palam vihar plot,ansal,floor,premium,3.3
12500000,ready to move,1350,9259,2 bhk independent floor in ansal palam vihar plot,palam vihar extension,star homz,not approved by rera,2,ansal palam vihar plot,ansal,floor,value-mid,1.25
